* Measurement data measured by REW V5.20.3
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Oct 14, 2021 5:19:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of Vector average Cal file effects included No LF tail No HF tail
* Measurement: Vector average-EP
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
242.065430 0.010 -0.0243
242.431641 0.010 -0.0244
242.797852 0.010 -0.0244
243.164062 0.010 -0.0245
243.530273 0.010 -0.0245
243.896484 0.010 -0.0245
244.262695 0.010 -0.0246
244.628906 0.010 -0.0246
244.995117 0.010 -0.0246
245.361328 0.010 -0.0247
245.727539 0.010 -0.0247
246.093750 0.010 -0.0248
246.459961 0.010 -0.0248
246.826172 0.010 -0.0248
247.192383 0.010 -0.0249
247.558594 0.010 -0.0249
247.924805 0.010 -0.0249
248.291016 0.010 -0.0250
248.657227 0.010 -0.0250
249.023438 0.010 -0.0250
249.389648 0.010 -0.0250
249.755859 0.010 -0.0251
250.122070 0.010 -0.0251
250.488281 0.010 -0.0251
250.854492 0.010 -0.0251
251.220703 0.010 -0.0252
251.586914 0.010 -0.0252
251.953125 0.010 -0.0252
252.319336 0.010 -0.0252
252.685547 0.010 -0.0252
253.051758 0.010 -0.0253
253.417969 0.010 -0.0253
253.784180 0.010 -0.0253
254.150391 0.010 -0.0253
254.516602 0.010 -0.0253
254.882812 0.010 -0.0253
255.249023 0.010 -0.0254
255.615234 0.010 -0.0254
255.981445 0.010 -0.0254
256.347656 0.010 -0.0254
256.713867 0.010 -0.0254
257.080078 0.010 -0.0255
257.446289 0.010 -0.0255
257.812500 0.010 -0.0255
258.178711 0.010 -0.0255
258.544922 0.010 -0.0255
258.911133 0.010 -0.0256
259.277344 0.010 -0.0256
259.643555 0.010 -0.0256
260.009766 0.010 -0.0256
260.375977 0.010 -0.0257
260.742188 0.010 -0.0257
261.108398 0.010 -0.0257
261.474609 0.010 -0.0257
261.840820 0.010 -0.0258
262.207031 0.010 -0.0258
262.573242 0.010 -0.0258
262.939453 0.010 -0.0259
263.305664 0.010 -0.0259
263.671875 0.010 -0.0259
264.038086 0.010 -0.0259
264.404297 0.010 -0.0260
264.770508 0.010 -0.0260
265.136719 0.010 -0.0261
265.502930 0.010 -0.0261
265.869141 0.010 -0.0261
266.235352 0.010 -0.0262
266.601562 0.010 -0.0262
266.967773 0.010 -0.0262
267.333984 0.010 -0.0262
267.700195 0.010 -0.0263
268.066406 0.010 -0.0263
268.432617 0.010 -0.0263
268.798828 0.010 -0.0264
269.165039 0.010 -0.0264
269.531250 0.010 -0.0265
269.897461 0.010 -0.0265
270.263672 0.010 -0.0266
270.629883 0.010 -0.0266
270.996094 0.010 -0.0266
271.362305 0.010 -0.0267
271.728516 0.010 -0.0267
272.094727 0.010 -0.0267
272.460938 0.010 -0.0268
272.827148 0.010 -0.0268
273.193359 0.010 -0.0269
273.559570 0.010 -0.0269
273.925781 0.010 -0.0270
274.291992 0.010 -0.0270
274.658203 0.010 -0.0270
275.024414 0.010 -0.0271
275.390625 0.010 -0.0271
275.756836 0.010 -0.0272
276.123047 0.010 -0.0272
276.489258 0.010 -0.0272
276.855469 0.010 -0.0273
277.221680 0.010 -0.0273
277.587891 0.010 -0.0274
277.954102 0.010 -0.0274
278.320312 0.010 -0.0274
278.686523 0.010 -0.0275
279.052734 0.010 -0.0275
279.418945 0.010 -0.0276
279.785156 0.010 -0.0277
280.151367 0.010 -0.0277
280.517578 0.010 -0.0278
280.883789 0.010 -0.0278
281.250000 0.010 -0.0278
281.616211 0.010 -0.0279
281.982422 0.010 -0.0279
282.348633 0.010 -0.0280
282.714844 0.010 -0.0281
283.081055 0.010 -0.0281
283.447266 0.010 -0.0282
283.813477 0.010 -0.0283
284.179688 0.010 -0.0283
284.545898 0.010 -0.0284
284.912109 0.010 -0.0284
285.278320 0.010 -0.0285
285.644531 0.010 -0.0286
286.010742 0.010 -0.0286
286.376953 0.010 -0.0287
286.743164 0.010 -0.0287
287.109375 0.010 -0.0288
287.475586 0.010 -0.0288
287.841797 0.010 -0.0289
288.208008 0.010 -0.0290
288.574219 0.010 -0.0290
288.940430 0.010 -0.0291
289.306641 0.010 -0.0291
289.672852 0.010 -0.0292
290.039062 0.010 -0.0292
290.405273 0.010 -0.0293
290.771484 0.010 -0.0293
291.137695 0.010 -0.0294
291.503906 0.010 -0.0294
291.870117 0.010 -0.0295
292.236328 0.010 -0.0296
292.602539 0.010 -0.0296
292.968750 0.010 -0.0296
293.334961 0.010 -0.0297
293.701172 0.010 -0.0297
294.067383 0.010 -0.0298
294.433594 0.010 -0.0299
294.799805 0.010 -0.0299
295.166016 0.010 -0.0300
295.532227 0.010 -0.0300
295.898438 0.010 -0.0301
296.264648 0.010 -0.0301
296.630859 0.010 -0.0302
296.997070 0.010 -0.0302
297.363281 0.010 -0.0303
297.729492 0.010 -0.0303
298.095703 0.010 -0.0304
298.461914 0.010 -0.0304
298.828125 0.010 -0.0305
299.194336 0.010 -0.0305
299.560547 0.010 -0.0306
299.926758 0.010 -0.0306
300.292969 0.010 -0.0306
300.659180 0.010 -0.0307
301.025391 0.010 -0.0307
301.391602 0.010 -0.0308
301.757812 0.010 -0.0308
302.124023 0.010 -0.0309
302.490234 0.010 -0.0309
302.856445 0.010 -0.0310
303.222656 0.010 -0.0310
303.588867 0.010 -0.0310
303.955078 0.010 -0.0311
304.321289 0.010 -0.0312
304.687500 0.010 -0.0312
305.053711 0.010 -0.0312
305.419922 0.010 -0.0313
305.786133 0.010 -0.0313
306.152344 0.010 -0.0314
306.518555 0.010 -0.0314
306.884766 0.010 -0.0314
307.250977 0.010 -0.0315
307.617188 0.010 -0.0315
307.983398 0.010 -0.0316
308.349609 0.010 -0.0316
308.715820 0.010 -0.0316
309.082031 0.010 -0.0317
309.448242 0.010 -0.0317
309.814453 0.010 -0.0318
310.180664 0.010 -0.0318
310.546875 0.010 -0.0318
310.913086 0.010 -0.0318
311.279297 0.010 -0.0319
311.645508 0.010 -0.0319
312.011719 0.010 -0.0320
312.377930 0.010 -0.0320
312.744141 0.010 -0.0320
313.110352 0.010 -0.0321
313.476562 0.010 -0.0321
313.842773 0.010 -0.0321
314.208984 0.010 -0.0322
314.575195 0.010 -0.0322
314.941406 0.010 -0.0323
315.307617 0.010 -0.0323
315.673828 0.010 -0.0324
316.040039 0.010 -0.0324
316.406250 0.010 -0.0325
316.772461 0.010 -0.0325
317.138672 0.010 -0.0326
317.504883 0.010 -0.0326
